Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,Preferred Positions
73,71,70,75,61,57,58,42,55,34,51,55,60,62,64,53,63,51,58,58,65,57,61,65,67,62,58,61,38,CDM
85,27,89,77,70,67,69,67,72,67,67,57,32,72,63,67,20,64,65,66,66,66,27,82,70,18,41,70,57,RM
85,27,89,77,70,67,69,67,72,67,67,57,32,72,63,67,20,64,65,66,66,66,27,82,70,18,41,70,57,CAM
85,27,89,77,70,67,69,67,72,67,67,57,32,72,63,67,20,64,65,66,66,66,27,82,70,18,41,70,57,LM
75,55,71,74,62,63,71,61,71,55,66,69,64,58,71,44,68,50,55,61,71,51,73,77,70,73,66,41,44,LM
75,55,71,74,62,63,71,61,71,55,66,69,64,58,71,44,68,50,55,61,71,51,73,77,70,73,66,41,44,LB
60,77,75,72,68,62,64,75,59,53,72,59,69,71,76,64,52,57,59,67,76,60,61,60,77,69,72,68,43,CM
60,77,75,72,68,62,64,75,59,53,72,59,69,71,76,64,52,57,59,67,76,60,61,60,77,69,72,68,43,CDM
56,71,62,57,74,65,69,62,73,75,54,73,63,64,71,74,59,65,74,74,74,75,58,69,87,64,73,69,66,ST
56,71,62,57,74,65,69,62,73,75,54,73,63,64,71,74,59,65,74,74,74,75,58,69,87,64,73,69,66,CAM
56,71,62,57,74,65,69,62,73,75,54,73,63,64,71,74,59,65,74,74,74,75,58,69,87,64,73,69,66,CM
65,49,66,69,66,59,56,54,64,45,48,52,40,63,66,51,47,54,61,59,65,62,50,68,52,55,58,61,44,CAM
65,49,66,69,66,59,56,54,64,45,48,52,40,63,66,51,47,54,61,59,65,62,50,68,52,55,58,61,44,CM
77,34,75,65,69,64,75,58,69,55,38,33,19,40,62,34,22,51,60,57,74,51,27,80,61,30,61,64,36,RM
71,31,61,79,52,49,45,41,56,36,39,35,24,49,42,39,29,54,42,52,48,54,33,66,48,30,40,50,43,RM
67,65,50,65,70,68,55,70,73,62,75,57,23,54,58,74,23,50,72,65,62,60,25,60,74,27,62,72,51,RM
67,65,50,65,70,68,55,70,73,62,75,57,23,54,58,74,23,50,72,65,62,60,25,60,74,27,62,72,51,CAM
76,39,78,66,64,53,62,68,61,63,62,55,58,50,48,55,63,51,59,62,60,57,65,81,67,66,74,51,42,LWB
76,39,78,66,64,53,62,68,61,63,62,55,58,50,48,55,63,51,59,62,60,57,65,81,67,66,74,51,42,CB
76,39,78,66,64,53,62,68,61,63,62,55,58,50,48,55,63,51,59,62,60,57,65,81,67,66,74,51,42,LB
61,63,55,68,52,46,41,34,44,26,37,54,48,63,56,32,57,45,39,57,62,53,58,59,55,56,48,37,28,CDM
79,66,77,75,73,66,75,68,73,66,49,66,74,81,59,62,71,66,65,72,69,77,73,79,76,73,65,68,65,LB
65,51,65,68,61,57,48,48,60,55,40,38,21,65,47,54,41,52,53,54,49,51,37,64,57,30,68,52,41,CM
65,51,65,68,61,57,48,48,60,55,40,38,21,65,47,54,41,52,53,54,49,51,37,64,57,30,68,52,41,ST
65,51,65,68,61,57,48,48,60,55,40,38,21,65,47,54,41,52,53,54,49,51,37,64,57,30,68,52,41,CAM
82,53,91,80,73,39,64,68,72,55,53,33,41,71,65,59,41,44,58,64,72,59,44,65,65,48,41,68,47,CM
82,53,91,80,73,39,64,68,72,55,53,33,41,71,65,59,41,44,58,64,72,59,44,65,65,48,41,68,47,CAM
52,69,61,58,68,66,52,66,64,59,65,65,66,61,68,70,53,55,65,64,70,73,61,54,68,62,65,67,63,CM
52,69,61,58,68,66,52,66,64,59,65,65,66,61,68,70,53,55,65,64,70,73,61,54,68,62,65,67,63,CDM
66,52,44,58,55,60,49,42,47,66,62,71,34,60,37,63,27,65,69,59,53,68,29,63,52,23,74,46,54,ST
62,74,63,55,63,62,47,48,62,64,51,68,53,72,62,56,46,60,65,61,64,62,54,58,72,56,70,64,47,CDM
62,74,63,55,63,62,47,48,62,64,51,68,53,72,62,56,46,60,65,61,64,62,54,58,72,56,70,64,47,CM
84,65,84,81,65,50,60,66,68,54,43,41,61,74,56,57,56,46,54,65,65,58,66,74,89,64,57,60,43,LM
85,37,87,83,76,63,69,62,80,67,58,43,24,70,64,65,32,58,68,65,73,64,25,85,72,31,55,67,55,CF
85,37,87,83,76,63,69,62,80,67,58,43,24,70,64,65,32,58,68,65,73,64,25,85,72,31,55,67,55,CAM
85,37,87,83,76,63,69,62,80,67,58,43,24,70,64,65,32,58,68,65,73,64,25,85,72,31,55,67,55,LW
85,37,87,83,76,63,69,62,80,67,58,43,24,70,64,65,32,58,68,65,73,64,25,85,72,31,55,67,55,LM
77,72,74,78,76,79,80,68,75,67,74,63,78,75,74,76,72,74,73,74,76,80,76,78,78,77,66,71,66,RB
77,72,74,78,76,79,80,68,75,67,74,63,78,75,74,76,72,74,73,74,76,80,76,78,78,77,66,71,66,LB
77,66,82,81,85,78,72,80,87,83,67,72,37,81,75,80,30,72,84,82,83,79,42,77,86,59,76,83,79,CAM
77,66,82,81,85,78,72,80,87,83,67,72,37,81,75,80,30,72,84,82,83,79,42,77,86,59,76,83,79,CF
77,66,82,81,85,78,72,80,87,83,67,72,37,81,75,80,30,72,84,82,83,79,42,77,86,59,76,83,79,ST
69,84,66,52,70,64,58,59,71,64,58,57,67,66,65,62,60,64,66,63,66,70,58,68,77,65,80,64,47,RB
69,84,66,52,70,64,58,59,71,64,58,57,67,66,65,62,60,64,66,63,66,70,58,68,77,65,80,64,47,CDM
69,84,66,52,70,64,58,59,71,64,58,57,67,66,65,62,60,64,66,63,66,70,58,68,77,65,80,64,47,RM
69,84,66,52,70,64,58,59,71,64,58,57,67,66,65,62,60,64,66,63,66,70,58,68,77,65,80,64,47,CM
81,45,72,70,71,66,74,83,77,61,75,51,45,55,61,62,23,71,76,77,72,57,22,71,66,21,67,77,55,LM
81,45,72,70,71,66,74,83,77,61,75,51,45,55,61,62,23,71,76,77,72,57,22,71,66,21,67,77,55,RM
81,45,72,70,71,66,74,83,77,61,75,51,45,55,61,62,23,71,76,77,72,57,22,71,66,21,67,77,55,CAM
69,73,76,62,73,75,65,65,71,64,58,66,63,57,74,67,60,44,71,72,76,65,43,67,85,50,63,79,64,CM
79,45,79,59,59,59,41,46,72,41,43,54,47,64,62,46,41,53,62,62,68,63,42,72,54,41,60,61,46,CAM
79,45,79,59,59,59,41,46,72,41,43,54,47,64,62,46,41,53,62,62,68,63,42,72,54,41,60,61,46,RM
70,59,72,69,73,67,64,66,71,52,65,53,59,62,71,65,56,69,64,65,74,72,59,65,72,65,68,70,65,LM
70,59,72,69,73,67,64,66,71,52,65,53,59,62,71,65,56,69,64,65,74,72,59,65,72,65,68,70,65,CDM
70,59,72,69,73,67,64,66,71,52,65,53,59,62,71,65,56,69,64,65,74,72,59,65,72,65,68,70,65,CM
71,79,72,71,54,65,49,59,58,38,60,50,64,76,69,59,72,47,55,77,73,67,55,71,75,67,62,58,43,CM
71,79,72,71,54,65,49,59,58,38,60,50,64,76,69,59,72,47,55,77,73,67,55,71,75,67,62,58,43,CDM
81,40,70,69,65,52,62,70,60,58,72,49,32,56,52,50,40,55,47,53,67,62,47,82,62,50,58,52,45,LW
81,40,70,69,65,52,62,70,60,58,72,49,32,56,52,50,40,55,47,53,67,62,47,82,62,50,58,52,45,LM
77,30,77,80,70,58,73,51,71,60,48,32,24,47,50,41,17,47,61,60,68,60,36,76,72,30,55,60,49,RW
69,65,62,69,67,65,63,42,64,55,40,55,53,63,62,61,54,45,57,56,66,68,49,66,77,55,80,61,50,RM
69,65,62,69,67,65,63,42,64,55,40,55,53,63,62,61,54,45,57,56,66,68,49,66,77,55,80,61,50,CAM
69,65,62,69,67,65,63,42,64,55,40,55,53,63,62,61,54,45,57,56,66,68,49,66,77,55,80,61,50,CM
89,29,76,59,51,62,40,37,56,56,29,55,15,64,41,49,20,55,54,57,49,54,16,88,63,19,63,47,48,RW
89,29,76,59,51,62,40,37,56,56,29,55,15,64,41,49,20,55,54,57,49,54,16,88,63,19,63,47,48,ST
50,53,59,64,72,62,42,56,61,59,54,44,70,61,77,62,63,46,61,63,73,61,68,53,54,75,65,69,38,CDM
50,53,59,64,72,62,42,56,61,59,54,44,70,61,77,62,63,46,61,63,73,61,68,53,54,75,65,69,38,CM
77,72,64,82,61,59,62,54,58,34,41,54,68,81,55,41,64,46,49,67,63,65,63,72,87,64,60,43,38,LB
77,72,64,82,61,59,62,54,58,34,41,54,68,81,55,41,64,46,49,67,63,65,63,72,87,64,60,43,38,RB
65,68,68,68,65,64,55,52,67,58,49,57,60,74,64,62,42,50,50,61,70,61,49,69,59,54,64,65,57,CM
64,61,74,71,66,67,63,57,62,55,42,35,61,69,64,52,58,60,63,64,70,56,42,66,83,58,55,68,57,CM
80,74,77,70,75,67,77,58,79,66,47,63,71,72,66,56,68,55,65,68,73,66,75,88,74,74,77,62,56,RM
80,74,77,70,75,67,77,58,79,66,47,63,71,72,66,56,68,55,65,68,73,66,75,88,74,74,77,62,56,RB
64,31,54,61,65,56,64,36,57,63,34,64,29,65,55,55,22,66,65,58,60,51,34,55,65,35,71,55,43,CF
64,31,54,61,65,56,64,36,57,63,34,64,29,65,55,55,22,66,65,58,60,51,34,55,65,35,71,55,43,ST
59,70,53,60,63,62,64,45,44,55,63,77,70,88,63,68,68,67,53,69,46,84,71,65,54,72,81,57,52,CM
59,70,53,60,63,62,64,45,44,55,63,77,70,88,63,68,68,67,53,69,46,84,71,65,54,72,81,57,52,CB
59,79,65,70,67,65,63,36,63,49,62,46,65,64,63,51,40,38,47,74,66,65,64,68,85,68,78,67,47,CDM
59,79,65,70,67,65,63,36,63,49,62,46,65,64,63,51,40,38,47,74,66,65,64,68,85,68,78,67,47,CM
78,75,78,76,77,70,81,82,74,56,80,57,80,63,76,84,74,61,70,75,73,87,81,82,86,79,69,66,69,LB
74,67,69,78,61,44,47,54,63,41,45,60,61,57,57,54,53,47,41,60,66,56,52,68,66,56,49,63,39,LM
74,67,69,78,61,44,47,54,63,41,45,60,61,57,57,54,53,47,41,60,66,56,52,68,66,56,49,63,39,RM
69,47,67,68,60,45,63,56,57,33,49,38,51,62,48,35,54,38,42,49,62,45,58,66,65,55,53,39,31,LB
90,70,88,70,71,68,63,63,69,65,68,56,28,57,57,70,19,64,67,67,65,80,43,86,69,40,67,64,67,LW
90,70,88,70,71,68,63,63,69,65,68,56,28,57,57,70,19,64,67,67,65,80,43,86,69,40,67,64,67,LM
64,43,56,61,57,53,40,42,53,39,38,51,54,53,65,37,40,50,51,54,68,48,44,69,66,43,61,65,41,CM
58,66,58,54,55,66,41,55,43,40,62,64,59,67,53,54,61,27,40,64,59,69,64,63,83,68,84,49,36,CDM
58,66,58,54,55,66,41,55,43,40,62,64,59,67,53,54,61,27,40,64,59,69,64,63,83,68,84,49,36,CB
65,63,63,62,59,58,63,34,54,47,30,60,61,69,40,38,50,40,47,63,59,47,54,64,91,63,65,40,30,LB
82,63,72,69,58,54,55,54,63,62,35,58,14,80,47,59,15,62,64,54,64,64,18,78,62,27,66,52,62,ST
72,72,67,59,58,65,62,54,60,28,32,41,58,81,48,43,55,31,56,57,58,71,64,79,79,62,64,37,39,RB
75,82,65,64,65,62,66,41,67,28,35,60,76,71,35,28,71,40,49,68,60,34,71,74,77,75,69,53,28,RB
76,48,70,72,49,53,55,42,51,36,41,51,59,61,55,39,62,39,41,57,56,55,60,76,79,66,73,48,38,RB
76,48,70,72,49,53,55,42,51,36,41,51,59,61,55,39,62,39,41,57,56,55,60,76,79,66,73,48,38,CB
76,48,70,72,49,53,55,42,51,36,41,51,59,61,55,39,62,39,41,57,56,55,60,76,79,66,73,48,38,LB
68,67,70,65,65,68,49,65,54,43,53,56,67,68,59,40,63,63,47,68,66,46,62,64,76,64,72,63,35,CB
68,67,70,65,65,68,49,65,54,43,53,56,67,68,59,40,63,63,47,68,66,46,62,64,76,64,72,63,35,CDM
64,21,61,75,56,46,56,43,61,58,34,48,17,69,53,45,23,49,62,45,59,56,27,65,64,19,58,54,47,RM
68,53,73,60,68,61,61,68,69,59,62,54,36,53,65,63,11,58,59,58,64,62,12,68,59,17,57,63,63,LM
68,53,73,60,68,61,61,68,69,59,62,54,36,53,65,63,11,58,59,58,64,62,12,68,59,17,57,63,63,ST
68,53,73,60,68,61,61,68,69,59,62,54,36,53,65,63,11,58,59,58,64,62,12,68,59,17,57,63,63,RM
85,58,71,55,57,53,55,53,60,38,31,54,55,61,46,42,54,32,46,46,56,43,54,85,70,58,62,41,18,LWB
85,58,71,55,57,53,55,53,60,38,31,54,55,61,46,42,54,32,46,46,56,43,54,85,70,58,62,41,18,LB
85,58,71,55,57,53,55,53,60,38,31,54,55,61,46,42,54,32,46,46,56,43,54,85,70,58,62,41,18,RWB
85,58,71,55,57,53,55,53,60,38,31,54,55,61,46,42,54,32,46,46,56,43,54,85,70,58,62,41,18,RB
78,59,75,79,64,50,63,52,69,44,32,42,51,70,51,58,55,31,58,58,61,57,61,75,73,61,69,58,30,RM
78,59,75,79,64,50,63,52,69,44,32,42,51,70,51,58,55,31,58,58,61,57,61,75,73,61,69,58,30,LM
78,59,75,79,64,50,63,52,69,44,32,42,51,70,51,58,55,31,58,58,61,57,61,75,73,61,69,58,30,LB
78,43,78,74,67,60,55,53,65,48,46,39,31,60,57,45,36,52,54,57,58,53,36,76,63,30,57,59,44,RM
78,43,78,74,67,60,55,53,65,48,46,39,31,60,57,45,36,52,54,57,58,53,36,76,63,30,57,59,44,LM
78,43,78,74,67,60,55,53,65,48,46,39,31,60,57,45,36,52,54,57,58,53,36,76,63,30,57,59,44,CAM
81,45,84,68,72,68,60,60,73,56,45,58,73,62,40,64,39,65,71,69,64,48,23,83,75,24,65,49,53,RM
81,45,84,68,72,68,60,60,73,56,45,58,73,62,40,64,39,65,71,69,64,48,23,83,75,24,65,49,53,LM
59,58,66,72,69,53,58,57,61,54,53,39,51,40,67,52,49,42,56,64,68,56,48,58,62,50,48,65,41,CAM
59,58,66,72,69,53,58,57,61,54,53,39,51,40,67,52,49,42,56,64,68,56,48,58,62,50,48,65,41,CM
74,45,77,71,77,81,61,70,78,67,57,60,27,54,70,76,32,56,73,60,74,77,39,67,60,40,71,70,63,CAM
75,45,73,72,60,56,52,47,67,53,45,39,21,48,41,59,24,46,51,45,47,54,31,74,66,28,59,49,48,RM
58,51,65,65,63,51,57,30,64,47,38,43,35,55,57,51,28,41,48,50,64,50,41,62,63,36,60,44,34,CAM
65,69,53,54,63,52,46,41,59,37,41,56,42,62,72,46,44,56,57,62,73,68,60,61,59,54,53,57,49,CM
55,55,70,69,69,59,61,61,65,33,61,45,50,56,65,61,40,57,50,55,69,49,45,54,55,44,56,50,49,CM
71,58,57,61,62,52,43,38,57,48,33,40,62,70,61,51,35,40,43,61,59,47,53,74,50,41,70,54,31,LB
71,58,57,61,62,52,43,38,57,48,33,40,62,70,61,51,35,40,43,61,59,47,53,74,50,41,70,54,31,CDM
71,58,57,61,62,52,43,38,57,48,33,40,62,70,61,51,35,40,43,61,59,47,53,74,50,41,70,54,31,LM
71,58,57,61,62,52,43,38,57,48,33,40,62,70,61,51,35,40,43,61,59,47,53,74,50,41,70,54,31,CM
84,69,80,68,62,57,63,54,66,63,49,62,39,75,54,60,28,58,64,63,61,68,19,90,65,18,64,57,56,ST
84,69,80,68,62,57,63,54,66,63,49,62,39,75,54,60,28,58,64,63,61,68,19,90,65,18,64,57,56,RM
84,69,80,68,62,57,63,54,66,63,49,62,39,75,54,60,28,58,64,63,61,68,19,90,65,18,64,57,56,LM
55,82,44,41,65,64,39,33,42,52,38,78,70,78,66,40,75,56,48,68,67,57,62,64,75,67,83,37,49,CB
63,74,65,69,69,70,68,67,59,38,52,70,80,80,81,73,75,35,51,72,69,80,80,70,66,81,73,59,25,LB
63,74,65,69,69,70,68,67,59,38,52,70,80,80,81,73,75,35,51,72,69,80,80,70,66,81,73,59,25,RB
63,74,65,69,69,70,68,67,59,38,52,70,80,80,81,73,75,35,51,72,69,80,80,70,66,81,73,59,25,CB
72,61,70,67,75,71,70,61,76,63,70,56,48,53,67,69,38,75,68,68,76,76,33,67,68,47,60,75,68,CAM
72,61,70,67,75,71,70,61,76,63,70,56,48,53,67,69,38,75,68,68,76,76,33,67,68,47,60,75,68,LW
72,61,70,67,75,71,70,61,76,63,70,56,48,53,67,69,38,75,68,68,76,76,33,67,68,47,60,75,68,CM
66,90,68,68,52,53,52,31,53,45,54,54,65,61,56,66,63,51,57,62,64,65,60,73,68,62,72,56,27,CB
66,90,68,68,52,53,52,31,53,45,54,54,65,61,56,66,63,51,57,62,64,65,60,73,68,62,72,56,27,LB
67,72,69,70,60,50,42,38,47,32,42,52,57,81,55,49,55,52,32,63,65,57,53,68,74,59,69,52,34,CM
67,72,69,70,60,50,42,38,47,32,42,52,57,81,55,49,55,52,32,63,65,57,53,68,74,59,69,52,34,CDM
83,64,72,68,70,64,70,76,80,68,75,56,49,55,60,79,21,70,69,72,71,81,26,82,60,31,74,72,67,ST
83,64,72,68,70,64,70,76,80,68,75,56,49,55,60,79,21,70,69,72,71,81,26,82,60,31,74,72,67,RW
77,59,70,74,65,58,57,53,67,36,39,50,63,70,48,35,66,43,55,60,53,49,68,76,63,69,47,50,32,RB
85,58,78,91,64,52,66,50,67,31,46,37,65,74,51,37,65,42,34,60,65,45,70,77,91,68,48,36,27,RB
78,75,78,74,66,64,59,43,66,61,46,64,34,64,58,63,34,67,67,71,62,69,33,91,67,36,62,66,60,ST
78,75,78,74,66,64,59,43,66,61,46,64,34,64,58,63,34,67,67,71,62,69,33,91,67,36,62,66,60,LM
78,75,78,74,66,64,59,43,66,61,46,64,34,64,58,63,34,67,67,71,62,69,33,91,67,36,62,66,60,RM
58,54,67,63,51,61,52,48,54,44,39,56,55,53,53,38,61,46,51,47,54,50,52,65,59,55,70,52,41,CDM
58,54,67,63,51,61,52,48,54,44,39,56,55,53,53,38,61,46,51,47,54,50,52,65,59,55,70,52,41,CB
87,75,72,66,71,75,76,67,68,59,51,68,72,82,70,74,73,57,60,69,70,70,75,81,90,73,67,63,64,RB
58,43,71,69,71,56,71,60,62,66,66,59,31,55,56,73,35,72,70,58,58,68,41,68,60,30,58,58,63,CAM
81,42,79,71,57,55,52,46,60,54,45,43,25,82,47,57,24,55,59,58,59,61,21,72,65,21,51,51,41,LM
81,42,79,71,57,55,52,46,60,54,45,43,25,82,47,57,24,55,59,58,59,61,21,72,65,21,51,51,41,RM
84,68,87,87,80,76,68,76,84,80,69,65,38,66,65,82,15,66,78,74,75,83,33,82,72,44,65,79,73,RM
84,68,87,87,80,76,68,76,84,80,69,65,38,66,65,82,15,66,78,74,75,83,33,82,72,44,65,79,73,LM
84,68,87,87,80,76,68,76,84,80,69,65,38,66,65,82,15,66,78,74,75,83,33,82,72,44,65,79,73,ST
69,72,74,65,76,68,58,51,74,55,38,71,70,71,79,67,72,49,62,69,78,75,73,65,72,77,75,76,53,CM
69,72,74,65,76,68,58,51,74,55,38,71,70,71,79,67,72,49,62,69,78,75,73,65,72,77,75,76,53,CDM
75,48,73,71,70,63,67,53,70,66,66,40,40,51,63,63,58,31,60,64,65,63,54,81,78,59,58,50,55,LWB
75,48,73,71,70,63,67,53,70,66,66,40,40,51,63,63,58,31,60,64,65,63,54,81,78,59,58,50,55,RM
75,48,73,71,70,63,67,53,70,66,66,40,40,51,63,63,58,31,60,64,65,63,54,81,78,59,58,50,55,LM
81,40,81,84,65,56,67,63,67,50,55,38,26,80,56,40,15,59,49,55,60,60,24,74,68,31,58,60,51,RM
78,48,81,78,58,51,63,68,59,40,65,45,57,58,58,47,60,38,35,47,65,34,57,73,65,59,58,36,24,LM
78,48,81,78,58,51,63,68,59,40,65,45,57,58,58,47,60,38,35,47,65,34,57,73,65,59,58,36,24,LB
49,58,57,63,66,58,55,59,56,52,42,65,64,70,73,76,67,54,55,71,62,70,72,63,73,70,53,55,61,CDM
64,74,64,71,67,63,54,48,72,37,25,67,72,79,68,55,63,50,53,69,81,64,66,65,89,73,77,62,31,CDM
65,58,60,64,64,64,57,45,59,36,46,62,57,55,57,42,63,38,57,62,61,49,60,70,82,62,73,62,40,LB
78,63,73,55,66,68,69,56,62,41,41,53,71,77,60,53,70,56,58,68,64,61,71,81,84,68,70,63,34,CB
78,63,73,55,66,68,69,56,62,41,41,53,71,77,60,53,70,56,58,68,64,61,71,81,84,68,70,63,34,LB
72,70,74,64,73,67,65,65,74,58,42,58,67,67,47,72,66,48,61,71,68,70,68,75,75,67,66,65,54,LM
72,70,74,64,73,67,65,65,74,58,42,58,67,67,47,72,66,48,61,71,68,70,68,75,75,67,66,65,54,LB
73,70,71,68,64,59,53,51,57,55,62,62,63,49,61,64,68,68,52,63,75,68,71,71,69,70,62,60,48,CB
73,70,71,68,64,59,53,51,57,55,62,62,63,49,61,64,68,68,52,63,75,68,71,71,69,70,62,60,48,CDM
65,44,62,60,58,55,52,50,55,47,45,50,52,56,62,38,44,50,50,55,64,60,48,66,56,50,65,60,42,CM
62,78,56,62,60,75,53,58,58,44,56,78,73,78,68,70,73,58,37,76,67,60,70,53,55,72,73,46,58,CB
79,34,86,87,56,48,49,45,45,49,30,41,24,65,51,45,20,54,52,51,56,60,29,76,65,27,43,57,48,CAM
79,34,86,87,56,48,49,45,45,49,30,41,24,65,51,45,20,54,52,51,56,60,29,76,65,27,43,57,48,RW
74,77,72,77,66,49,49,40,59,52,43,76,64,90,61,52,55,47,52,61,70,69,58,78,73,67,76,62,38,CM
74,77,72,77,66,49,49,40,59,52,43,76,64,90,61,52,55,47,52,61,70,69,58,78,73,67,76,62,38,CDM
74,59,76,74,67,62,63,65,69,63,59,60,49,60,58,60,48,71,61,58,61,64,40,67,49,48,57,60,55,RM
74,59,76,74,67,62,63,65,69,63,59,60,49,60,58,60,48,71,61,58,61,64,40,67,49,48,57,60,55,ST
50,73,74,79,64,59,58,44,55,55,57,47,66,83,62,58,50,61,58,62,66,63,55,66,73,58,63,54,53,CDM
50,73,74,79,64,59,58,44,55,55,57,47,66,83,62,58,50,61,58,62,66,63,55,66,73,58,63,54,53,CM
75,60,69,70,61,58,65,52,60,24,32,47,56,74,52,38,60,38,48,56,60,53,58,72,74,59,61,44,30,LB
75,60,69,70,61,58,65,52,60,24,32,47,56,74,52,38,60,38,48,56,60,53,58,72,74,59,61,44,30,RB
73,57,68,68,59,54,56,38,57,33,35,49,63,62,38,38,60,41,47,63,53,47,65,72,72,63,64,41,31,LM
73,57,68,68,59,54,56,38,57,33,35,49,63,62,38,38,60,41,47,63,53,47,65,72,72,63,64,41,31,LB
65,57,72,61,84,81,86,87,79,81,89,60,37,70,78,84,55,80,80,78,84,82,55,66,86,56,67,84,75,LM
65,57,72,61,84,81,86,87,79,81,89,60,37,70,78,84,55,80,80,78,84,82,55,66,86,56,67,84,75,CAM
76,59,70,70,72,68,67,65,70,70,69,62,22,68,61,69,17,69,74,75,64,77,18,80,75,21,62,58,52,RM
76,59,70,70,72,68,67,65,70,70,69,62,22,68,61,69,17,69,74,75,64,77,18,80,75,21,62,58,52,LM
76,59,70,70,72,68,67,65,70,70,69,62,22,68,61,69,17,69,74,75,64,77,18,80,75,21,62,58,52,ST
61,65,46,66,51,60,45,48,49,33,47,76,65,76,61,49,73,38,46,70,58,63,65,55,65,71,72,42,53,CB
64,55,55,56,62,53,51,47,60,62,37,68,38,64,45,56,27,70,62,64,60,66,28,65,51,35,66,55,43,RW
64,55,55,56,62,53,51,47,60,62,37,68,38,64,45,56,27,70,62,64,60,66,28,65,51,35,66,55,43,ST
65,76,65,65,76,70,72,72,70,60,73,67,73,69,78,77,72,71,71,74,78,84,71,69,74,74,72,71,65,CB
65,76,65,65,76,70,72,72,70,60,73,67,73,69,78,77,72,71,71,74,78,84,71,69,74,74,72,71,65,CDM
66,32,76,75,68,60,61,64,68,65,68,40,28,58,58,45,23,56,67,67,72,64,22,75,62,25,59,65,45,RW
66,32,76,75,68,60,61,64,68,65,68,40,28,58,58,45,23,56,67,67,72,64,22,75,62,25,59,65,45,CAM
82,84,73,63,64,69,66,60,65,57,34,73,74,76,70,60,71,48,60,70,73,79,77,85,67,76,79,61,55,RB
82,84,73,63,64,69,66,60,65,57,34,73,74,76,70,60,71,48,60,70,73,79,77,85,67,76,79,61,55,CB
67,69,55,58,58,65,58,55,64,34,34,62,60,65,53,34,68,41,55,60,67,42,74,54,68,75,67,51,33,LWB
67,69,55,58,58,65,58,55,64,34,34,62,60,65,53,34,68,41,55,60,67,42,74,54,68,75,67,51,33,LB
73,52,73,70,68,59,63,56,65,58,31,60,31,66,55,54,15,67,65,53,64,53,20,71,56,21,61,67,41,ST
73,52,73,70,68,59,63,56,65,58,31,60,31,66,55,54,15,67,65,53,64,53,20,71,56,21,61,67,41,RW
82,45,78,71,65,56,57,57,63,67,49,61,38,81,44,57,38,63,61,69,53,58,42,80,67,43,54,46,63,ST
69,84,68,71,75,81,70,67,68,55,52,60,75,73,61,43,71,56,61,80,76,57,82,75,77,75,69,65,49,RB
78,59,77,75,72,62,73,66,75,58,61,55,24,45,68,48,34,63,67,68,68,72,35,76,78,33,62,72,46,RM
78,59,77,75,72,62,73,66,75,58,61,55,24,45,68,48,34,63,67,68,68,72,35,76,78,33,62,72,46,RW
75,50,70,75,61,56,64,60,62,46,39,52,58,80,56,42,66,51,54,58,60,39,65,75,67,66,63,54,34,LWB
75,50,70,75,61,56,64,60,62,46,39,52,58,80,56,42,66,51,54,58,60,39,65,75,67,66,63,54,34,LB
