Name,Overall,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,Preferred Positions
H. Moukoudi,60,53,51,43,41,33,50,23,30,24,26,29,12,14,12,15,9,70,56,52,29,25,57,38,31,44,31,42,55,56,61,68,86,28,27,CB 
T. Al Jassam,74,75,71,70,74,75,74,61,70,68,69,74,12,13,9,16,13,70,71,67,72,70,74,75,68,72,75,66,71,67,76,73,73,67,61,CDM
J. Hendrick,75,74+1,75,71,77,74,77,70,73,76,67,64,12,6,9,9,14,68,75,76,76,69,68,63,71,72,77,71,69,70+1,79,72,78,74,68,CM
Z. Dearnley,63,69,64,52,67,63,50,55,48,64,62,48,7,8,11,7,11,62,48,56,57,46,30,53,66,52,59,66,31,68,55,30,59,55,42,LM
Danilo,74,66,77,68,66,75,74,60,68,74,59,67,13,6,11,11,14,72,77,86,69,71,71,41,71,75,75,74,74,69,69,76,73,71,52,CM
Lee Yong,64,81,61,79,53,43,63,61,53,45,55,46,15,10,12,8,14,44,63,83,54,41,64,62,44,65,56,60,61,67,90,63,83,58,60,CB
L. Fuentes,73,74,68,74,77,70,67,73,63,69,50,55,11,9,7,9,8,72,71,81,69,65,71,63,64,67,70,72,72,70,78,74,71,64,52,LB 
J. Rafferty,66,75,62,64,65,59,56,70,63,60,27,46,12,14,12,15,8,53,57,71,52,40,66,39,50,53,58,37,71,75,66,68,70,51,28,RB
Everticinho,77,84,73,79,70,75,80,76,76,76,69,68,7,8,8,8,7,60,72,61,59,74,70,64,76,80,76,72,77,76,88,75,68,64,71,RM
B. Hüttenbrenner,64,62,70,55,51,60,65,45,34,47,31,40,14,11,9,6,13,73,61,58,63,55,59,35,43,58,65,57,58,32,79,63,83,48,39,CM
C. Özdemir,66,68,40,68,64,67,59,69,64,67,61,68,11,12,14,8,9,45,30,57,66,66,35,66,62,54,67,68,48,70,66,42,67,63,62,RM
G. Poynton,56,63,60,66,54,56,51,53,48,54,50,53,6,10,8,11,14,52,49,53,53,39,51,54,54,52,58,52,49,63,57,52,51,54,37,CDM
R. Jenkins,64,70,62,63,54,64,52,64,51,62,55,40,14,8,15,7,14,55,48,57,62,59,51,39,57,72,69,58,48,70,76,54,77,59,54,CM 
Ricardinho,69,74,80,81,91,71,77,68,73,67,32,66,11,9,11,8,16,56,66,89,66,62,62,64,59,71,68,72,64,72,87,64,73,67,56,LB 
J. van der Heyden,65,60,70,61,60,66,66,49,60,63,53,43,12,12,11,10,15,52,64,65,66,61,56,44,56,63,67,59,53,59,73,54,67,63,55,CDM
K. Árnason,70,30,79,34,59,53,74,48,52,49,43,51,12,15,10,13,7,68,78,82,62,53,72,52,41,66,57,70,58,30,55,64,85,60,43,CB 
J. Aspropotamitis,64,54,61,40,47,49,70,27,27,32,21,21,11,15,14,10,10,62,61,69,49,17,64,38,19,54,64,31,61,55,68,64,76,30,23,CB 
A. Baluta,65,80,77,78,84,59,65,66,38,56,59,31,6,10,10,6,8,65,43,63,58,38,39,41,67,62,65,46,45,74,69,40,62,63,33,RM 
Tyronne,71,78,53,79,73,73,74,71,64,77,60,65,11,6,8,8,10,51,49,66,55,58,21,62,71,69,67,54,34,74,70,46,72,63,40,RM
Diogo Sousa,63,75,54,56,75,45,66,56,32,62,31,35,6,9,6,13,6,47,60,55,32,35,65,43,54,54,50,32,67,77,66,68,43,35,33,RM
B. Morrison,64,75,33,72,69,65,64,59,61,71,56,39,9,12,15,7,14,46,15,49,44,57,17,53,65,54,58,65,20,74,71,22,48,53,60,RW
T. Hiraoka,58,78,55,81,91,58,52,50,43,55,53,44,8,7,11,7,8,34,57,91,58,52,39,47,52,56,55,52,38,75,70,41,35,53,45,CAM
E. Calderini,58,70,54,61,63,61,55,50,53,51,51,49,13,8,11,16,12,44,26,49,54,54,13,52,54,61,61,51,16,69,62,22,59,53,46,CM
F. Ojo,70,73,66,83,70,69,74,69,45,65,59,56,11,16,13,8,14,58,65,70,68,69,50,65,64,66,75,74,56,67,76,63,66,68,52,CM
R. Strieder,71,62,64,73,78,68,71,57,48,61,32,45,7,14,10,12,12,59,75,64,70,37,65,47,44,69,74,59,67,59,83,67,60,66,44,CDM 
C. Ross,53,29,18,35,36,18,32,10,10,10,7,11,50,59,46,50,54,12,9,42,24,5,5,11,5,46,24,23,14,23,21,14,44,24,5,GK 
J. Lundstram,68,66,54,68,64,68,67,63,59,63,57,63,14,6,6,9,8,52,60,62,68,60,56,52,56,62,74,66,54,65,75,58,65,69,48,CM
M. De Iriondo,64,72,79,70,71,59,42,51,55,56,43,40,15,15,11,6,7,55,64,72,56,62,62,40,45,54,60,67,65,70,81,63,73,52,40,CM
M. Ligoule,65,50,64,64,60,62,65,56,51,56,57,56,15,11,7,7,13,39,65,51,66,60,63,62,51,62,65,50,56,53,74,66,59,62,48,CM
C. Donis,65,70,67,66,59,68,64,61,54,65,52,60,6,14,9,10,7,44,55,71,66,62,55,53,56,62,69,67,59,71,75,59,68,61,60,CM
A. Pomini,66,44,38,49,33,21,50,14,10,12,10,12,62,61,59,69,67,13,19,66,36,11,18,23,10,66,28,21,13,44,34,11,65,31,11,GK 
T. Fosu,63,85,45,76,71,63,47,57,49,65,57,47,11,13,9,12,7,39,33,52,53,55,34,57,57,54,56,56,22,80,66,27,42,48,44,CAM
O. Gnjatić,68,46,84,48,46,65,60,45,44,55,32,35,7,11,7,7,5,58,68,59,63,35,62,40,42,62,64,66,67,57,75,65,85,52,22,CDM 
U. Singh,61,63,49,55,50,63,56,61,44,60,64,50,11,8,5,12,7,60,45,56,55,59,35,57,61,53,58,54,31,66,57,32,60,54,51,ST
S. Coulthirst,63,78,31,74,64,63,55,52,50,61,62,26,8,15,13,13,10,58,12,78,49,60,31,57,57,60,58,62,16,78,60,12,71,54,40,ST
A. Frączczak,69,77,83,75,71,64,70,72,64,66,67,63,15,8,6,10,11,71,65,92,63,62,62,70,69,68,64,65,65,83,90,67,75,69,57,RB
G. Castro,82,73,64,83,83,82,83,82,80,80,69,74,14,8,13,10,15,52,78,73,83,78,72,58,76,84,84,77,81,69,78,70,65,83,65,CM
V. Sakor,65,68,69,65,77,70,66,55,53,68,44,40,7,7,9,10,7,58,60,74,62,51,55,41,62,60,65,54,56,61,70,64,82,62,38,CM
M. Nichols,68,61,68,68,77,66,66,62,70,67,68,51,11,9,13,16,15,58,59,60,62,64,53,64,74,63,66,68,51,69,68,56,56,73,62,CAM
S. Carson,74,42,23,38,42,20,32,14,18,17,19,16,74,70,76,75,71,18,24,75,17,20,18,20,14,71,25,22,20,51,28,15,71,53,13,GK 
Javi Jiménez,69,88,72,81,71,75,70,64,63,71,32,44,12,7,10,16,12,57,61,57,63,33,65,37,69,62,68,30,63,85,72,67,63,59,29,LWB
J. Brandrup,61,61,78,57,73,63,52,63,56,48,32,44,15,8,16,13,15,43,53,55,64,38,55,24,44,59,60,64,52,71,82,60,75,43,41,RB 
J. Arvidsson,67,61,66,60,66,62,56,76,70,56,46,70,13,10,7,16,7,63,67,72,64,52,62,62,44,62,64,57,66,62,72,64,73,66,39,LB 
M. Berisha,56,68,26,57,57,58,49,49,56,53,62,42,10,5,10,7,6,47,11,63,47,52,15,60,44,60,55,60,16,66,55,15,73,55,47,CAM
M. Cejas,67,69,78,68,71,70,62,68,65,68,65,67,7,7,7,16,16,60,40,80,62,70,22,64,66,59,67,70,56,66,69,41,68,63,67,RW
C. Storie,59,70,71,61,66,63,58,40,41,62,39,34,15,7,13,12,7,55,56,66,58,43,40,49,57,58,62,55,55,71,74,49,72,53,42,CM 
C. Brown,65,75,50,70,75,61,56,64,60,62,46,39,14,12,15,10,16,52,58,80,56,42,66,51,54,58,60,39,65,75,67,66,63,54,34,LWB
S. McConville,62,79,48,73,68,60,60,59,57,62,58,61,1,1,1,1,1,32,41,59,50,60,34,38,57,48,56,57,38,78,70,39,57,60,44,LM 
S. Lichtsteiner,82,76,82,77,79,75,80,82,68,76,45,66,4,3,2,3,2,72,82,75,71,70,78,64,66,82,77,74,82,78,83,82,72,62,62,RM
S. Boyd,54,57,27,60,60,51,51,33,40,49,59,29,10,9,14,9,13,55,13,64,33,55,12,65,56,48,47,51,14,58,54,12,38,51,36,ST 
R. McGree,62,79,68,74,75,67,66,53,56,68,55,43,12,9,5,8,13,48,58,54,57,52,57,44,59,57,62,56,52,80,69,57,60,62,40,CM
K. Abrahams,61,83,70,81,82,63,52,52,55,61,44,36,8,10,11,13,10,45,31,59,56,47,27,44,58,59,59,65,36,84,53,29,61,55,43,CAM 
E. Juárez,71,74,68,68,62,70,67,70,70,64,48,51,7,7,10,10,11,61,68,64,67,55,68,51,69,67,70,64,67,76,80,68,71,62,41,RM
A. Grünwald,72,67,61,64,68,74,70,67,70,71,67,78,12,13,12,11,12,58,61,64,70,66,55,65,63,67,74,72,52,67,76,56,82,76,62,CAM
A. Barzagli,85,64,70,51,64,65,82,40,50,64,21,31,4,2,4,2,4,72,92,85,65,39,90,60,28,80,65,54,88,76,46,90,87,62,35,CB 
S. Brown,66,52,27,63,46,23,29,11,12,14,15,11,64,63,58,65,68,12,24,64,25,15,14,19,13,68,24,23,17,50,28,12,56,25,14,GK 
A. Cragno,72,41,33,37,43,21,59,15,11,13,12,12,82,62,54,69,80,12,19,74,25,17,16,31,15,59,26,19,12,37,43,11,55,42,13,GK 
V. Ayala,73,71,78,77,72,72,66,73,77,71,56,79,8,13,9,9,9,65,65,80,75,90,61,58,68,73,73,88,63,73,81,68,69,69,53,CDM
T. Langerman,70,80,58,68,77,71,62,70,64,74,42,67,8,9,11,10,8,46,65,50,49,75,73,49,66,66,62,69,69,76,70,73,59,64,42,LB 
Y. Baraye,66,73,51,57,69,67,66,61,54,74,68,56,7,8,8,8,15,46,37,56,66,52,47,50,58,55,67,59,51,83,70,59,46,62,51,CAM
M. Lopez,74,73,67,81,93,74,65,66,65,75,62,58,7,14,13,11,6,59,65,60,73,57,34,61,73,77,76,58,49,69,73,57,42,77,57,CM 
